variable,form,data type,description
adl,TFC,ordinal,ADL
age,Key Variables,continuous,Participant's age at visit
alcab,Var Items I,categorical,Does the participant currently drink alcohol?
alcunits,Var Items I,continuous,Alcohol units per week
amp,Var Items I,categorical,Does the participant abuse amphetamines
ampfrq,Var Items I,ordinal,Amphetamines use frequency
anxscore,HADS-SIS,continuous,Anxiety subscore
aptscore,PBA-S,continuous,Apathy score
bar,Var Items I,categorical,Does the participant abuse barbiturates sedatives 
bathe,Function,categorical,Could subject bathe himself/herself without help?
bed,Function,categorical,Could subject get in an out of bed without help?
bmi,Profile,continuous,BMI
bp,SF-12,continuous,Bodily pain
brady,Motor,ordinal,Bradykinesiabody
cafab,Var Items I,categorical,Does the participant currently use caffeine?
cafpd,Var Items I,categorical,"Does the participant currently drink more than 3 cups of coffee, tea and cola drinks combined per day?"
caghigh,Profile,continuous,Larger research CAG allele determined from DNA
caglow,Profile,continuous,Smaller research CAG allele determined from DNA
capscore,Derived,continuous,CAG age product (age * (caghigh - 30) * 6.27)
carehome,Function,categorical,Could subject's care still be provided at home?
carelevl,TFC,ordinal,Care level
cash,Function,categorical,Could subject handle money as a purchaser in a simple cash (shop) transaction?
ccapt,Profile,categorical,Has apathy ever been a part of the participant's medical history?
cccog,Profile,categorical,Has significant cognitive impairment or dementia ever been a part of the paricipant's medical history?
cccogage,Profile,continuous,Age when cognitive impairment first started to have an impact on daily life
ccdep,Profile,categorical,Has depression ever been a part of the participant's medical history?
ccirb,Profile,categorical,Has irritability ever been a part of the participant's medical history?
ccmtr,Profile,categorical,Has motor symptoms compatible with HD ever been a part of the participant's medical history?
ccmtrage,Profile,continuous,Age when motor symptoms began
ccpob,Profile,categorical,Has perseverative obsessive behaviours ever been a part of the participant's medical history?
ccpsy,Profile,categorical,Has psychosis ever been a part of the participant's medical history?
ccpsyfh,Profile,categorical,Does the participant have a family history of psychotic illness in a first degree relative
ccvab,Profile,categorical,Has violant or aggressive behaviour ever been a part of the participant's medical history?
chorbol,Motor,ordinal,Maximal chorea BOL
chores,TFC,ordinal,Domestic chores
chorface,Motor,ordinal,Maximal chorea face
chorlle,Motor,ordinal,Maximal chorea LLE
chorlue,Motor,ordinal,Maximal chorea LUE
chorrle,Motor,ordinal,Maximal chorea RLE
chorrue,Motor,ordinal,Maximal chorea RUE
chortrnk,Motor,ordinal,Maximal chorea trunk
clb,Var Items I,categorical,Does the participant abuse club drugs
clbfrq,Var Items I,ordinal,"Club drugs (Ecstacy, GHB, Roofies) use frequency"
coc,Var Items I,categorical,Does the participant abuse cocaine
cocfrq,Var Items I,ordinal,Cocaine use frequency
comb,Function,categorical,Could subject comb hair without help?
dadhd,Profile,categorical,Father affected by Huntington's disease
depscore,PBA-S,continuous,Depression score
diagconf,Motor,ordinal,Diagnostic confidence level (DCL)
dress,Function,categorical,Could subject dress himself/herself without help?
drive,Function,categorical,Could subject operate an automobile safely and independetly?
drugab,Var Items I,categorical,Does the participant currently use drugs
dysarth,Motor,ordinal,Dysarthria
dystlle,Motor,ordinal,Maximal dystonia LLE
dystlue,Motor,ordinal,Maximal dystonia LUE
dystrle,Motor,ordinal,Maximal dystonia RLE
dystrue,Motor,ordinal,Maximal dystonia RUE
dysttrnk,Motor,ordinal,Maximal dystonia trunk
emplany,Function,categorical,Could subject engage in any kind of gainful employment?
emplnrd,Var Items II,categorical,Retired due to (if retired)
emplnrsn,Var Items II,categorical,Reason for not being employed
emplusl,Function,categorical,Could subject engage in gainful employment in his/her accustomed work?
exfscore,PBA-S,continuous,Executive function
fafinan,Function,categorical,Could subject manage his/her finances (monthly) without any help?
fascore,Function,continuous,Functional assessment score
feedself,Function,categorical,Could subject feed himself/herself without help?
fhx,Profile,categorical,Is there a family history of HD?
finances,TFC,ordinal,Finances
fingtapl,Motor,ordinal,Left finger taps
fingtapr,Motor,ordinal,Right finger taps
gait,Motor,ordinal,Gait
gh,SF-12,continuous,General health
grocery,Function,categorical,Could subject shop for groceries without help?
hal,Var Items I,categorical,Does the participant abuse hallucinogens
halfrq,Var Items I,categorical,Hallucinogens usage frequency
handed,Profile,categorical,Handedness
hdcat,Var Items I,categorical,"Participant HD category: pre-manifer, manifest, genotype negative, and family control"
hddiagn,Profile,continuous,Age of clinical HD diagnosis
height,Var Items I,continuous,Height (cm)
her,Var Items I,categorical,Does the participant abuse heroine
housewrk,Function,categorical,Could subset do his/her own housework without help?
hxalcab,MHx,categorical,Medical history of alcohol problems
hxamp,MHx,categorical,Medical history of amphetamines usage
hxampfrq,MHx,ordinal,Medical history of amphetamines use frequency
hxbar,MHx,categorical,Medical history of barbiturates usage
hxbarfrq,MHx,ordinal,Medical history of barbiturates sedatives use frequency
hxclb,MHx,categorical,Medical history of club drugs usage
hxclbfrq,MHx,ordinal,"Medical history of  club drugs (Ecstacy, GHB, Roofies) use frequency"
hxcoc,MHx,categorical,Medical history of cocaine usage
hxcocfrq,MHx,ordinal,Medical history of cocaine use frequency
hxdrugab,MHx,categorical,Medical history of drug abuse
hxhal,MHx,categorical,Medical history of hallucinogens usage
hxhalfrq,MHx,ordinal,Medical history of hallucinogens use frequency
hxher,MHx,categorical,Medical history of heroine usage
hxherfrq,MHx,ordinal,Medical history of heroin use frequency
hxinh,MHx,categorical,Medical history of inhalant usage
hxinhfrq,MHx,ordinal,Medical history of inhalants use frequency
hxmar,MHx,categorical,Medical history of marijuana usage
hxmarfrq,MHx,ordinal,Medical history of marijuana use frequency
hxopi,MHx,categorical,Medical history of opium usage
hxopifrq,MHx,ordinal,Medical history of opium use frequency
hxpacky,MHx,continuous,Medical history of life time exposure to tobacco (packyears)
hxpak,MHx,categorical,Medical history of painkillers usage
hxpakfrq,MHx,ordinal,Medical history of painkiller use frequency
hxrit,MHx,categorical,Medical history of ritalin  usage
hxritfrq,MHx,ordinal,Medical history of ritalin use frequency
hxsid,Profile,categorical,Previous suicidal ideation or attempts?
hxtobab,MHx,categorical,Has the participant ever smoked?
hxtobcpd,MHx,continuous,Medical history of cigarettes per day
hxtobyos,MHx,continuous,Medical history of years of smoking
hxtrq,MHx,categorical,Medical history of tranquilizers usage
hxtrqfrq,MHx,ordinal,Medical history of tranquilizers use frequency
indepscl,Function,ordinal,Subject's independence in %
inh,Var Items I,categorical,Does the participant abuse inhalants
int1,C-SSRS,ordinal,What is the intensity of suicidal thoughts you have?
int2,C-SSRS,ordinal,How many times have you had these thoughts?
int3,C-SSRS,ordinal,How long do the suicidal thoughts last?
int4,C-SSRS,ordinal,Could/can you stop thinking about killing yourself or wanting to die if you want to?
int5,C-SSRS,ordinal,"Are there things - anyone or anything (e.g. family, religon, pain of death) - that stopped you from wanting to die or acting on thoughts of committing suicide?"
int6,C-SSRS,ordinal,What sort of reason did you have for thinking about wanting to die or killing yourself?
inwscore,HADS-SIS,continuous,Inward irritability subscore
irascore,PBA-S,continuous,Irritability aggression score
irrscore,HADS-SIS,continuous,Irritability subscore
isced,Var Items II,ordinal,ISCED education level
jobclas,Var Items II,categorical,Employment status
jobpaid,Var Items II,categorical,Work status (if employed)
laundry,Function,categorical,Could subject do his/her own laundry (wash/dry) without help?
luria,Motor,ordinal,Luria
mar,Var Items I,categorical,Does the participant abuse marijuana
marfrq,Var Items I,ordinal,Marijuana use frequency
maristat,Var Items II,categorical,Marital status
mcs,SF-12,continuous,Mental component
mh,SF-12,continuous,Mental health
mmsetotal,MMSE,continuous,Mini Mental State Examination
momhd,Profile,categorical,Mother affected by Huntington's disease
motscore,Motor,continuous,Motor score (TMS)
occupatn,TFC,ordinal,Occupation
ocularh,Motor,ordinal,Ocular horizontal
ocularv,Motor,ordinal,Ocular vertical
opi,Var Items I,categorical,Does the participant abuse opium
outscore,HADS-SIS,continuous,Outward irritability subscore
ownmeds,Function,categorical,Could subject take his/her own medication without help?
packy,Var Items I,continuous,Life time exposure to tobacco (packyears)
pak,Var Items I,categorical,Does the participant abuse painkillers
parentagesx,Derived,continuous,Parent's age at onset
pbahshd,PBA-S,categorical,Is informant a household member?
pbainfo,PBA-S,categorical,Is informant a relative?
pbas10fr,PBA-S,ordinal,Hallucinations frequency
pbas10sm__1,PBA-S,categorical,Modality of hallucinations - auditory
pbas10sm__2,PBA-S,categorical,Modality of hallucinations - visual
pbas10sm__3,PBA-S,categorical,Modality of hallucinations - tactile
pbas10sm__4,PBA-S,categorical,Modality of hallucinations - olfactory
pbas10sm__5,PBA-S,categorical,Modality of hallucinations - gustatory
pbas10sv,PBA-S,ordinal,Hallucinations severity
pbas11fr,PBA-S,ordinal,Disoriented behaviour frequency
pbas11sv,PBA-S,ordinal,Disoriented behaviour severity
pbas1fr,PBA-S,ordinal,Depressed mood frequency
pbas1sv,PBA-S,ordinal,Depressed mood severity
pbas2fr,PBA-S,ordinal,Suicidal ideation frequency
pbas2sv,PBA-S,ordinal,Suicidal ideation severity
pbas3fr,PBA-S,ordinal,Anxiety frequency
pbas3sv,PBA-S,ordinal,Anxiety severity
pbas4fr,PBA-S,ordinal,Irritability frequency
pbas4sv,PBA-S,ordinal,Irritability severity
pbas5fr,PBA-S,ordinal,Angry or aggressive behaviour frequency
pbas5sv,PBA-S,ordinal,Angry or aggressive behaviour severity
pbas6fr,PBA-S,ordinal,Lack of initiative (apathy) frequency
pbas6sv,PBA-S,ordinal,Lack of initiative (apathy) severity
pbas7fr,PBA-S,ordinal,Perseverative thinking or behaviour frequency
pbas7sv,PBA-S,ordinal,Perseverative thinking or behaviour severity
pbas8fr,PBA-S,ordinal,Obsessive-compulsive behaviours frequency
pbas8sv,PBA-S,ordinal,Obsessive-compulsive behaviours severity
pbas9fr,PBA-S,ordinal,Delusions paranoid thinking frequency
pbas9sv,PBA-S,ordinal,Delusions paranoid thinking severity
pcs,SF-12,continuous,Physical component
pf,SF-12,continuous,Physical functioning
prepmeal,Function,categorical,Could participant prepare his/her own meals without help?
prosupl,Motor,ordinal,Left pronate supinate?hands
prosupr,Motor,ordinal,Right pronate supinate?hands
psyscore,PBA-S,continuous,Psychosis score
pubtrans,Function,categorical,Could subject use public transport to get to places without help?
race,Profile,categorical,Ethnicity
rdcwk,Var Items II,categorical,Have you had to stop or reduce work due to your health?
re,SF-12,continuous,Role-emotional
region,Profile,categorical,Region (latest)
res,Var Items II,categorical,Residence
retropls,Motor,ordinal,Retropulsion pull test
rigarml,Motor,ordinal,Left rigidity?arms
rigarmr,Motor,ordinal,Right rigidity?arms
rit,Var Items I,categorical,Does the participant abuse ritalin
rp,SF-12,continuous,Role-physical
rtrnwk,Var Items II,categorical,Do you inted to return to work?
sacinith,Motor,ordinal,Saccade initiation horizontal
sacinitv,Motor,ordinal,Saccade initiation vertical
sacvelh,Motor,ordinal,Saccade velocity horizontal
sacvelv,Motor,ordinal,Saccade velocity vertical
sbh1,C-SSRS,categorical,Participant attempted suicide
sbh1n,C-SSRS,continuous,Number of suicidal attempts
sbh2,C-SSRS,categorical,Has subject engaged in Non-Suicidal Self-Injurious Behaviour?
